Name,Grade,Synergy,Unchange,Level,HP,HPGen,MP,MPGen,AttackSpeed,AttackDamage,DmgRange,Armor,Magic Armor,Skill
전사1,1,1,1,1,400,0,100,10,0,20,0,1,0,30002
Melee1,,5,0.1,2,800,0,100,10,0,40,0,2,0,30002
1,,7,0.2,3,1200,0,100,10,0,60,0,3,0,30002
2,,10,0,4,1600,0,100,10,0,80,0,4,0,30002
,,,0,5,2000,0,100,10,0,100,0,5,0,30002
전사2,2,1,1,1,600,0,100,10,0,30,0,1.5,0,30002
Melee2,,4,0.1,2,1200,0,100,10,0,60,0,3,0,30002
2,,7,0.2,3,1800,0,100,10,0,90,0,4.5,0,30002
2,,10,0,4,2400,0,100,10,0,120,0,6,0,30002
,,,0,5,3000,0,100,10,0,150,0,7.5,0,30002
전사3,3,1,1,1,800,0,100,10,0,40,0,2,0,30002
Melee3,,3,0.1,2,1600,0,100,10,0,80,0,4,0,30002
3,,7,0.2,3,2400,0,100,10,0,120,0,6,0,30002
2,,8,0,4,3200,0,100,10,0,160,0,8,0,30002
,,,0,5,4000,0,100,10,0,200,0,10,0,30002
전사4,4,3,1,1,1000,0,100,10,0,50,0,2.5,0,30002
Melee4,,4,0.1,2,2000,0,100,10,0,100,0,5,0,30002
4,,9,0.2,3,3000,0,100,10,0,150,0,7.5,0,30002
2,,11,0,4,4000,0,100,10,0,200,0,10,0,30002
,,,0,5,5000,0,100,10,0,250,0,12.5,0,30002
전사5,5,3,1,1,1200,0,100,10,0,60,0,3,0,30002
Melee5,,5,0.1,2,2400,0,100,10,0,120,0,6,0,30002
5,,9,0.2,3,3600,0,100,10,0,180,0,9,0,30002
2,,10,0,4,4800,0,100,10,0,240,0,12,0,30002
,,,0,5,6000,0,100,10,0,300,0,15,0,30002
원거리1,1,2,3,1,300,0,100,15,10,30,0,1,0,30001
Ranged1,,5,0.3,2,600,0,100,15,10,60,0,2,0,30001
6,,11,0.1,3,900,0,100,15,10,90,0,3,0,30001
3,,,1,4,1200,0,100,15,10,120,0,4,0,30001
,,,1,5,1500,0,100,15,10,150,0,5,0,30001
원거리2,2,2,3,1,450,0,100,15,10,45,0,1,0,30001
Ranged2,,6,0.3,2,900,0,100,15,10,90,0,2,0,30001
7,,10,0.1,3,1350,0,100,15,10,135,0,3,0,30001
3,,11,1,4,1800,0,100,15,10,180,0,4,0,30001
,,,1,5,2250,0,100,15,10,225,0,5,0,30001
원거리3,3,2,3,1,600,0,100,15,10,60,0,1,0,30001
Ranged3,,6,0.3,2,1200,0,100,15,10,120,0,2,0,30001
8,,11,0.1,3,1800,0,100,15,10,180,0,3,0,30001
3,,,1,4,2400,0,100,15,10,240,0,4,0,30001
,,,1,5,3000,0,100,15,10,300,0,5,0,30001
원거리4,4,6,3,1,750,0,100,15,10,75,0,1,0,30001
Ranged4,,7,0.3,2,1500,0,100,15,10,150,0,2,0,30001
9,,8,0.1,3,2250,0,100,15,10,225,0,3,0,30001
3,,,1,4,3000,0,100,15,10,300,0,4,0,30001
,,,1,5,3750,0,100,15,10,375,0,5,0,30001
원거리5,5,6,3,1,900,0,100,15,10,90,0,1,0,30001
Ranged5,,7,0.3,2,1800,0,100,15,10,180,0,2,0,30001
10,,10,0.1,3,2700,0,100,15,10,270,0,3,0,30001
3,,,1,4,3600,0,100,15,10,360,0,4,0,30001
,,,1,5,4500,0,100,15,10,450,0,5,0,30001
암살1,1,2,1,1,300,0,100,0,50,30,0,1,0,40001
Assassin1,,3,0.1,2,600,0,100,0,50,60,0,2,0,40001
